,case:concept:name,concept:name,time:enabled,start_timestamp,time:timestamp,org:resource
0,case[0],A,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:35:00+00:00,Default resource profile 1_0
1,case[0],B,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:40:00+00:00,Default resource profile 1_1
2,case[0],C,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:45:00+00:00,Default resource profile 1_2
3,case[0],D,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:50:00+00:00,Default resource profile 1_3
4,case[0],E,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:55:00+00:00,Default resource profile 1_4
5,case[1],A,2026-04-15 12:52:10.233556+00:00,2026-04-15 12:52:10.233556+00:00,2026-04-15 12:57:10.233556+00:00,Default resource profile 1_5
6,case[1],B,2026-04-15 12:57:10.233556+00:00,2026-04-15 12:57:10.233556+00:00,2026-04-15 13:02:10.233556+00:00,Default resource profile 1_6
7,case[1],C,2026-04-15 13:02:10.233556+00:00,2026-04-15 13:02:10.233556+00:00,2026-04-15 13:07:10.233556+00:00,Default resource profile 1_7
8,case[1],D,2026-04-15 13:07:10.233556+00:00,2026-04-15 13:07:10.233556+00:00,2026-04-15 13:12:10.233556+00:00,Default resource profile 1_8
9,case[1],E,2026-04-15 13:12:10.233556+00:00,2026-04-15 13:12:10.233556+00:00,2026-04-15 13:17:10.233556+00:00,Default resource profile 1_9
10,case[2],A,2026-04-15 13:35:34.541493+00:00,2026-04-15 13:35:34.541493+00:00,2026-04-15 13:40:34.541493+00:00,Default resource profile 1_10
11,case[2],B,2026-04-15 13:40:34.541493+00:00,2026-04-15 13:40:34.541493+00:00,2026-04-15 13:45:34.541493+00:00,Default resource profile 1_11
12,case[2],C,2026-04-15 13:45:34.541493+00:00,2026-04-15 13:45:34.541493+00:00,2026-04-15 13:50:34.541493+00:00,Default resource profile 1_12
13,case[2],D,2026-04-15 13:50:34.541493+00:00,2026-04-15 13:50:34.541493+00:00,2026-04-15 13:55:34.541493+00:00,Default resource profile 1_13
14,case[2],E,2026-04-15 13:55:34.541493+00:00,2026-04-15 13:55:34.541493+00:00,2026-04-15 14:00:34.541493+00:00,Default resource profile 1_14
15,case[3],A,2026-04-15 13:55:39.699122+00:00,2026-04-15 13:55:39.699122+00:00,2026-04-15 14:00:39.699122+00:00,Default resource profile 1_15
16,case[3],B,2026-04-15 14:00:39.699122+00:00,2026-04-15 14:00:39.699122+00:00,2026-04-15 14:05:39.699122+00:00,Default resource profile 1_16
17,case[3],C,2026-04-15 14:05:39.699122+00:00,2026-04-15 14:05:39.699122+00:00,2026-04-15 14:10:39.699122+00:00,Default resource profile 1_17
18,case[3],D,2026-04-15 14:10:39.699122+00:00,2026-04-15 14:10:39.699122+00:00,2026-04-15 14:15:39.699122+00:00,Default resource profile 1_18
19,case[3],E,2026-04-15 14:15:39.699122+00:00,2026-04-15 14:15:39.699122+00:00,2026-04-15 14:20:39.699122+00:00,Default resource profile 1_19
20,case[4],A,2026-04-15 14:45:04.421356+00:00,2026-04-15 14:45:04.421356+00:00,2026-04-15 14:50:04.421356+00:00,Default resource profile 1_20
21,case[4],B,2026-04-15 14:50:04.421356+00:00,2026-04-15 14:50:04.421356+00:00,2026-04-15 14:55:04.421356+00:00,Default resource profile 1_21
22,case[4],C,2026-04-15 14:55:04.421356+00:00,2026-04-15 14:55:04.421356+00:00,2026-04-15 15:00:04.421356+00:00,Default resource profile 1_22
23,case[4],D,2026-04-15 15:00:04.421356+00:00,2026-04-15 15:00:04.421356+00:00,2026-04-15 15:05:04.421356+00:00,Default resource profile 1_23
24,case[4],E,2026-04-15 15:05:04.421356+00:00,2026-04-15 15:05:04.421356+00:00,2026-04-15 15:10:04.421356+00:00,Default resource profile 1_24
25,case[5],A,2026-04-15 15:39:16.409018+00:00,2026-04-15 15:39:16.409018+00:00,2026-04-15 15:44:16.409018+00:00,Default resource profile 1_25
26,case[5],B,2026-04-15 15:44:16.409018+00:00,2026-04-15 15:44:16.409018+00:00,2026-04-15 15:49:16.409018+00:00,Default resource profile 1_26
27,case[5],C,2026-04-15 15:49:16.409018+00:00,2026-04-15 15:49:16.409018+00:00,2026-04-15 15:54:16.409018+00:00,Default resource profile 1_27
28,case[6],A,2026-04-15 15:53:53.190876+00:00,2026-04-15 15:53:53.190876+00:00,2026-04-15 15:58:53.190876+00:00,Default resource profile 1_28
29,case[5],D,2026-04-15 15:54:16.409018+00:00,2026-04-15 15:54:16.409018+00:00,2026-04-15 15:59:16.409018+00:00,Default resource profile 1_29
30,case[6],B,2026-04-15 15:58:53.190876+00:00,2026-04-15 15:58:53.190876+00:00,2026-04-15 16:03:53.190876+00:00,Default resource profile 1_30
31,case[5],E,2026-04-15 15:59:16.409018+00:00,2026-04-15 15:59:16.409018+00:00,2026-04-15 16:04:16.409018+00:00,Default resource profile 1_31
32,case[6],C,2026-04-15 16:03:53.190876+00:00,2026-04-15 16:03:53.190876+00:00,2026-04-15 16:08:53.190876+00:00,Default resource profile 1_32
33,case[6],D,2026-04-15 16:08:53.190876+00:00,2026-04-15 16:08:53.190876+00:00,2026-04-15 16:13:53.190876+00:00,Default resource profile 1_33
34,case[6],E,2026-04-15 16:13:53.190876+00:00,2026-04-15 16:13:53.190876+00:00,2026-04-15 16:18:53.190876+00:00,Default resource profile 1_34
35,case[7],A,2026-04-15 16:54:43.105264+00:00,2026-04-15 16:54:43.105264+00:00,2026-04-15 16:59:43.105264+00:00,Default resource profile 1_35
36,case[7],B,2026-04-15 16:59:43.105264+00:00,2026-04-15 16:59:43.105264+00:00,2026-04-15 17:04:43.105264+00:00,Default resource profile 1_36
37,case[7],C,2026-04-15 17:04:43.105264+00:00,2026-04-15 17:04:43.105264+00:00,2026-04-15 17:09:43.105264+00:00,Default resource profile 1_37
