,case:concept:name,concept:name,time:enabled,start_timestamp,time:timestamp,org:resource
0,case[0],A,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:35:00+00:00,Carlos
1,case[0],B,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:40:00+00:00,Marta
2,case[1],A,2026-04-15 12:37:08.854512+00:00,2026-04-15 12:37:08.854512+00:00,2026-04-15 12:42:08.854512+00:00,Carlos
3,case[0],C,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:45:00+00:00,Marta
4,case[1],B,2026-04-15 12:42:08.854512+00:00,2026-04-15 12:42:08.854512+00:00,2026-04-15 12:47:08.854512+00:00,Carlos
5,case[0],D,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:50:00+00:00,Marta
6,case[1],C,2026-04-15 12:47:08.854512+00:00,2026-04-15 12:47:08.854512+00:00,2026-04-15 12:52:08.854512+00:00,Carlos
7,case[0],E,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:55:00+00:00,Marta
8,case[1],D,2026-04-15 12:52:08.854512+00:00,2026-04-15 12:52:08.854512+00:00,2026-04-15 12:57:08.854512+00:00,Carlos
9,case[1],E,2026-04-15 12:57:08.854512+00:00,2026-04-15 12:57:08.854512+00:00,2026-04-15 13:02:08.854512+00:00,Marta
10,case[2],A,2026-04-15 13:20:46.788704+00:00,2026-04-15 13:20:46.788704+00:00,2026-04-15 13:25:46.788704+00:00,Carlos
11,case[2],B,2026-04-15 13:25:46.788704+00:00,2026-04-15 13:25:46.788704+00:00,2026-04-15 13:30:46.788704+00:00,Marta
12,case[2],C,2026-04-15 13:30:46.788704+00:00,2026-04-15 13:30:46.788704+00:00,2026-04-15 13:35:46.788704+00:00,Carlos
13,case[2],D,2026-04-15 13:35:46.788704+00:00,2026-04-15 13:35:46.788704+00:00,2026-04-15 13:40:46.788704+00:00,Marta
14,case[2],E,2026-04-15 13:40:46.788704+00:00,2026-04-15 13:40:46.788704+00:00,2026-04-15 13:45:46.788704+00:00,Carlos
15,case[3],A,2026-04-15 13:44:34.221754+00:00,2026-04-15 13:44:34.221754+00:00,2026-04-15 13:49:34.221754+00:00,Marta
16,case[3],B,2026-04-15 13:49:34.221754+00:00,2026-04-15 13:49:34.221754+00:00,2026-04-15 13:54:34.221754+00:00,Carlos
17,case[3],C,2026-04-15 13:54:34.221754+00:00,2026-04-15 13:54:34.221754+00:00,2026-04-15 13:59:34.221754+00:00,Marta
18,case[3],D,2026-04-15 13:59:34.221754+00:00,2026-04-15 13:59:34.221754+00:00,2026-04-15 14:04:34.221754+00:00,Carlos
