,case:concept:name,concept:name,time:enabled,start_timestamp,time:timestamp,org:resource
0,case[0],A,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:35:00+00:00,Carlos
1,case[0],B,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:35:00.000000+00:00,2026-04-15 12:40:00+00:00,Marta
2,case[0],C,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:45:00+00:00,Carlos
3,case[0],D,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:45:00.000000+00:00,2026-04-15 12:50:00+00:00,Marta
4,case[0],E,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:50:00.000000+00:00,2026-04-15 12:55:00+00:00,Carlos
5,case[1],A,2026-04-15 13:21:17.393177+00:00,2026-04-15 13:21:17.393177+00:00,2026-04-15 13:26:17.393177+00:00,Marta
6,case[1],B,2026-04-15 13:26:17.393177+00:00,2026-04-15 13:26:17.393177+00:00,2026-04-15 13:31:17.393177+00:00,Carlos
7,case[1],C,2026-04-15 13:31:17.393177+00:00,2026-04-15 13:31:17.393177+00:00,2026-04-15 13:36:17.393177+00:00,Marta
8,case[1],D,2026-04-15 13:36:17.393177+00:00,2026-04-15 13:36:17.393177+00:00,2026-04-15 13:41:17.393177+00:00,Carlos
9,case[1],E,2026-04-15 13:41:17.393177+00:00,2026-04-15 13:41:17.393177+00:00,2026-04-15 13:46:17.393177+00:00,Marta
10,case[2],A,2026-04-15 13:43:22.555965+00:00,2026-04-15 13:43:22.555965+00:00,2026-04-15 13:48:22.555965+00:00,Carlos
11,case[2],B,2026-04-15 13:48:22.555965+00:00,2026-04-15 13:48:22.555965+00:00,2026-04-15 13:53:22.555965+00:00,Marta
12,case[2],C,2026-04-15 13:53:22.555965+00:00,2026-04-15 13:53:22.555965+00:00,2026-04-15 13:58:22.555965+00:00,Carlos
13,case[2],D,2026-04-15 13:58:22.555965+00:00,2026-04-15 13:58:22.555965+00:00,2026-04-15 14:03:22.555965+00:00,Marta
14,case[2],E,2026-04-15 14:03:22.555965+00:00,2026-04-15 14:03:22.555965+00:00,2026-04-15 14:08:22.555965+00:00,Carlos
15,case[3],A,2026-04-15 14:39:53.811307+00:00,2026-04-15 14:39:53.811307+00:00,2026-04-15 14:44:53.811307+00:00,Marta
16,case[3],B,2026-04-15 14:44:53.811307+00:00,2026-04-15 14:44:53.811307+00:00,2026-04-15 14:49:53.811307+00:00,Carlos
17,case[3],C,2026-04-15 14:49:53.811307+00:00,2026-04-15 14:49:53.811307+00:00,2026-04-15 14:54:53.811307+00:00,Marta
18,case[3],D,2026-04-15 14:54:53.811307+00:00,2026-04-15 14:54:53.811307+00:00,2026-04-15 14:59:53.811307+00:00,Carlos
