,concept:name,lifecycle:transition,time:timestamp,case:concept:name
0,Loan_application_received,complete,1971-02-21 17:00:00+00:00,case[0]
1,Check_application_form_completeness,complete,1971-02-21 17:01:00+00:00,case[0]
2,Return_application_back_to_applicant,complete,1971-02-21 17:02:00+00:00,case[0]
3,Receive_updated_application,complete,1971-02-21 17:03:00+00:00,case[0]
4,Check_application_form_completeness,complete,1971-02-21 17:04:00+00:00,case[0]
5,Return_application_back_to_applicant,complete,1971-02-21 17:05:00+00:00,case[0]
6,Receive_updated_application,complete,1971-02-21 17:06:00+00:00,case[0]
7,Check_application_form_completeness,complete,1971-02-21 17:07:00+00:00,case[0]
8,Appraise_property,complete,1971-02-21 17:08:00+00:00,case[0]
9,Check_credit_history,complete,1971-02-21 17:09:00+00:00,case[0]
10,Asses_loan_risk,complete,1971-02-21 17:10:00+00:00,case[0]
11,Asses_elegibility,complete,1971-02-21 17:11:00+00:00,case[0]
12,Prepare_acceptance_pack,complete,1971-02-21 17:12:00+00:00,case[0]
13,Check_if_home_insurance_quote_is_requested,complete,1971-02-21 17:13:00+00:00,case[0]
14,Send_home_insurance_quote,complete,1971-02-21 17:14:00+00:00,case[0]
15,Verify_repayment_agreement,complete,1971-02-21 17:15:00+00:00,case[0]
16,Approve_application,complete,1971-02-21 17:16:00+00:00,case[0]
17,Loan_application_approved,complete,1971-02-21 17:17:00+00:00,case[0]
18,Finish_process,complete,1971-02-21 17:18:00+00:00,case[0]
19,Loan_application_received,complete,1971-02-21 18:00:00+00:00,case[1]
20,Check_application_form_completeness,complete,1971-02-21 18:01:00+00:00,case[1]
21,Return_application_back_to_applicant,complete,1971-02-21 18:02:00+00:00,case[1]
22,Receive_updated_application,complete,1971-02-21 18:03:00+00:00,case[1]
23,Check_application_form_completeness,complete,1971-02-21 18:04:00+00:00,case[1]
24,Return_application_back_to_applicant,complete,1971-02-21 18:05:00+00:00,case[1]
25,Receive_updated_application,complete,1971-02-21 18:06:00+00:00,case[1]
26,Check_application_form_completeness,complete,1971-02-21 18:07:00+00:00,case[1]
27,Check_credit_history,complete,1971-02-21 18:08:00+00:00,case[1]
28,Asses_loan_risk,complete,1971-02-21 18:09:00+00:00,case[1]
29,Appraise_property,complete,1971-02-21 18:10:00+00:00,case[1]
30,Asses_elegibility,complete,1971-02-21 18:11:00+00:00,case[1]
31,Reject_application,complete,1971-02-21 18:12:00+00:00,case[1]
32,Loan_application_rejected,complete,1971-02-21 18:13:00+00:00,case[1]
33,Finish_process,complete,1971-02-21 18:14:00+00:00,case[1]
34,Loan_application_received,complete,1971-02-21 19:00:00+00:00,case[2]
35,Check_application_form_completeness,complete,1971-02-21 19:01:00+00:00,case[2]
36,Check_credit_history,complete,1971-02-21 19:02:00+00:00,case[2]
37,Asses_loan_risk,complete,1971-02-21 19:03:00+00:00,case[2]
38,Appraise_property,complete,1971-02-21 19:04:00+00:00,case[2]
39,Asses_elegibility,complete,1971-02-21 19:05:00+00:00,case[2]
40,Reject_application,complete,1971-02-21 19:06:00+00:00,case[2]
41,Loan_application_rejected,complete,1971-02-21 19:07:00+00:00,case[2]
42,Finish_process,complete,1971-02-21 19:08:00+00:00,case[2]
43,Loan_application_received,complete,1971-02-21 20:00:00+00:00,case[3]
44,Check_application_form_completeness,complete,1971-02-21 20:01:00+00:00,case[3]
45,Return_application_back_to_applicant,complete,1971-02-21 20:02:00+00:00,case[3]
46,Receive_updated_application,complete,1971-02-21 20:03:00+00:00,case[3]
47,Check_application_form_completeness,complete,1971-02-21 20:04:00+00:00,case[3]
48,Return_application_back_to_applicant,complete,1971-02-21 20:05:00+00:00,case[3]
49,Receive_updated_application,complete,1971-02-21 20:06:00+00:00,case[3]
50,Check_application_form_completeness,complete,1971-02-21 20:07:00+00:00,case[3]
51,Appraise_property,complete,1971-02-21 20:08:00+00:00,case[3]
52,Check_credit_history,complete,1971-02-21 20:09:00+00:00,case[3]
53,Asses_loan_risk,complete,1971-02-21 20:10:00+00:00,case[3]
54,Asses_elegibility,complete,1971-02-21 20:11:00+00:00,case[3]
55,Reject_application,complete,1971-02-21 20:12:00+00:00,case[3]
56,Loan_application_rejected,complete,1971-02-21 20:13:00+00:00,case[3]
57,Finish_process,complete,1971-02-21 20:14:00+00:00,case[3]
58,Loan_application_received,complete,1971-02-21 21:00:00+00:00,case[4]
59,Check_application_form_completeness,complete,1971-02-21 21:01:00+00:00,case[4]
60,Check_credit_history,complete,1971-02-21 21:02:00+00:00,case[4]
61,Asses_loan_risk,complete,1971-02-21 21:03:00+00:00,case[4]
62,Appraise_property,complete,1971-02-21 21:04:00+00:00,case[4]
63,Asses_elegibility,complete,1971-02-21 21:05:00+00:00,case[4]
64,Prepare_acceptance_pack,complete,1971-02-21 21:06:00+00:00,case[4]
