concept:name,lifecycle:transition,time:timestamp,case:concept:name
Loan_application_received,complete,2026-01-01 00:00:00+00:00,case[0]
Check_application_form_completeness,complete,2026-01-01 00:01:00+00:00,case[0]
Return_application_back_to_applicant,complete,2026-01-01 00:02:00+00:00,case[0]
Receive_updated_application,complete,2026-01-01 00:03:00+00:00,case[0]
Check_application_form_completeness,complete,2026-01-01 00:04:00+00:00,case[0]
Return_application_back_to_applicant,complete,2026-01-01 00:05:00+00:00,case[0]
Receive_updated_application,complete,2026-01-01 00:06:00+00:00,case[0]
Check_application_form_completeness,complete,2026-01-01 00:07:00+00:00,case[0]
Appraise_property,complete,2026-01-01 00:08:00+00:00,case[0]
Check_credit_history,complete,2026-01-01 00:09:00+00:00,case[0]
Asses_loan_risk,complete,2026-01-01 00:10:00+00:00,case[0]
Asses_elegibility,complete,2026-01-01 00:11:00+00:00,case[0]
Prepare_acceptance_pack,complete,2026-01-01 00:12:00+00:00,case[0]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 00:13:00+00:00,case[0]
Send_home_insurance_quote,complete,2026-01-01 00:14:00+00:00,case[0]
Verify_repayment_agreement,complete,2026-01-01 00:15:00+00:00,case[0]
Approve_application,complete,2026-01-01 00:16:00+00:00,case[0]
Loan_application_approved,complete,2026-01-01 00:17:00+00:00,case[0]
Finish_process,complete,2026-01-01 00:18:00+00:00,case[0]
Loan_application_received,complete,2026-01-01 00:19:00+00:00,case[1]
Check_application_form_completeness,complete,2026-01-01 00:20:00+00:00,case[1]
Return_application_back_to_applicant,complete,2026-01-01 00:21:00+00:00,case[1]
Receive_updated_application,complete,2026-01-01 00:22:00+00:00,case[1]
Check_application_form_completeness,complete,2026-01-01 00:23:00+00:00,case[1]
Return_application_back_to_applicant,complete,2026-01-01 00:24:00+00:00,case[1]
Receive_updated_application,complete,2026-01-01 00:25:00+00:00,case[1]
Check_application_form_completeness,complete,2026-01-01 00:26:00+00:00,case[1]
Check_credit_history,complete,2026-01-01 00:27:00+00:00,case[1]
Asses_loan_risk,complete,2026-01-01 00:28:00+00:00,case[1]
Appraise_property,complete,2026-01-01 00:29:00+00:00,case[1]
Asses_elegibility,complete,2026-01-01 00:30:00+00:00,case[1]
Reject_application,complete,2026-01-01 00:31:00+00:00,case[1]
Loan_application_rejected,complete,2026-01-01 00:32:00+00:00,case[1]
Finish_process,complete,2026-01-01 00:33:00+00:00,case[1]
Loan_application_received,complete,2026-01-01 00:34:00+00:00,case[2]
Check_application_form_completeness,complete,2026-01-01 00:35:00+00:00,case[2]
Check_credit_history,complete,2026-01-01 00:36:00+00:00,case[2]
Asses_loan_risk,complete,2026-01-01 00:37:00+00:00,case[2]
Appraise_property,complete,2026-01-01 00:38:00+00:00,case[2]
Asses_elegibility,complete,2026-01-01 00:39:00+00:00,case[2]
Reject_application,complete,2026-01-01 00:40:00+00:00,case[2]
Loan_application_rejected,complete,2026-01-01 00:41:00+00:00,case[2]
Finish_process,complete,2026-01-01 00:42:00+00:00,case[2]
Loan_application_received,complete,2026-01-01 00:43:00+00:00,case[3]
Check_application_form_completeness,complete,2026-01-01 00:44:00+00:00,case[3]
Return_application_back_to_applicant,complete,2026-01-01 00:45:00+00:00,case[3]
Receive_updated_application,complete,2026-01-01 00:46:00+00:00,case[3]
Check_application_form_completeness,complete,2026-01-01 00:47:00+00:00,case[3]
Return_application_back_to_applicant,complete,2026-01-01 00:48:00+00:00,case[3]
Receive_updated_application,complete,2026-01-01 00:49:00+00:00,case[3]
Check_application_form_completeness,complete,2026-01-01 00:50:00+00:00,case[3]
Appraise_property,complete,2026-01-01 00:51:00+00:00,case[3]
Check_credit_history,complete,2026-01-01 00:52:00+00:00,case[3]
Asses_loan_risk,complete,2026-01-01 00:53:00+00:00,case[3]
Asses_elegibility,complete,2026-01-01 00:54:00+00:00,case[3]
Reject_application,complete,2026-01-01 00:55:00+00:00,case[3]
Loan_application_rejected,complete,2026-01-01 00:56:00+00:00,case[3]
Finish_process,complete,2026-01-01 00:57:00+00:00,case[3]
Loan_application_received,complete,2026-01-01 00:58:00+00:00,case[4]
Check_application_form_completeness,complete,2026-01-01 00:59:00+00:00,case[4]
Check_credit_history,complete,2026-01-01 01:00:00+00:00,case[4]
Asses_loan_risk,complete,2026-01-01 01:01:00+00:00,case[4]
Appraise_property,complete,2026-01-01 01:02:00+00:00,case[4]
Asses_elegibility,complete,2026-01-01 01:03:00+00:00,case[4]
Prepare_acceptance_pack,complete,2026-01-01 01:04:00+00:00,case[4]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 01:05:00+00:00,case[4]
Send_acceptance_pack,complete,2026-01-01 01:06:00+00:00,case[4]
Verify_repayment_agreement,complete,2026-01-01 01:07:00+00:00,case[4]
Approve_application,complete,2026-01-01 01:08:00+00:00,case[4]
Loan_application_approved,complete,2026-01-01 01:09:00+00:00,case[4]
Finish_process,complete,2026-01-01 01:10:00+00:00,case[4]
Loan_application_received,complete,2026-01-01 01:11:00+00:00,case[5]
Check_application_form_completeness,complete,2026-01-01 01:12:00+00:00,case[5]
Check_credit_history,complete,2026-01-01 01:13:00+00:00,case[5]
Asses_loan_risk,complete,2026-01-01 01:14:00+00:00,case[5]
Appraise_property,complete,2026-01-01 01:15:00+00:00,case[5]
Asses_elegibility,complete,2026-01-01 01:16:00+00:00,case[5]
Reject_application,complete,2026-01-01 01:17:00+00:00,case[5]
Loan_application_rejected,complete,2026-01-01 01:18:00+00:00,case[5]
Finish_process,complete,2026-01-01 01:19:00+00:00,case[5]
Loan_application_received,complete,2026-01-01 01:20:00+00:00,case[6]
Check_application_form_completeness,complete,2026-01-01 01:21:00+00:00,case[6]
Appraise_property,complete,2026-01-01 01:22:00+00:00,case[6]
Check_credit_history,complete,2026-01-01 01:23:00+00:00,case[6]
Asses_loan_risk,complete,2026-01-01 01:24:00+00:00,case[6]
Asses_elegibility,complete,2026-01-01 01:25:00+00:00,case[6]
Prepare_acceptance_pack,complete,2026-01-01 01:26:00+00:00,case[6]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 01:27:00+00:00,case[6]
Send_home_insurance_quote,complete,2026-01-01 01:28:00+00:00,case[6]
Verify_repayment_agreement,complete,2026-01-01 01:29:00+00:00,case[6]
Cancel_application,complete,2026-01-01 01:30:00+00:00,case[6]
Loan_application_canceled,complete,2026-01-01 01:31:00+00:00,case[6]
Finish_process,complete,2026-01-01 01:32:00+00:00,case[6]
Loan_application_received,complete,2026-01-01 01:33:00+00:00,case[7]
Check_application_form_completeness,complete,2026-01-01 01:34:00+00:00,case[7]
Appraise_property,complete,2026-01-01 01:35:00+00:00,case[7]
Check_credit_history,complete,2026-01-01 01:36:00+00:00,case[7]
Asses_loan_risk,complete,2026-01-01 01:37:00+00:00,case[7]
Asses_elegibility,complete,2026-01-01 01:38:00+00:00,case[7]
Reject_application,complete,2026-01-01 01:39:00+00:00,case[7]
Loan_application_rejected,complete,2026-01-01 01:40:00+00:00,case[7]
Finish_process,complete,2026-01-01 01:41:00+00:00,case[7]
Loan_application_received,complete,2026-01-01 01:42:00+00:00,case[8]
Check_application_form_completeness,complete,2026-01-01 01:43:00+00:00,case[8]
Check_credit_history,complete,2026-01-01 01:44:00+00:00,case[8]
Asses_loan_risk,complete,2026-01-01 01:45:00+00:00,case[8]
Appraise_property,complete,2026-01-01 01:46:00+00:00,case[8]
Asses_elegibility,complete,2026-01-01 01:47:00+00:00,case[8]
Prepare_acceptance_pack,complete,2026-01-01 01:48:00+00:00,case[8]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 01:49:00+00:00,case[8]
Send_home_insurance_quote,complete,2026-01-01 01:50:00+00:00,case[8]
Verify_repayment_agreement,complete,2026-01-01 01:51:00+00:00,case[8]
Cancel_application,complete,2026-01-01 01:52:00+00:00,case[8]
Loan_application_canceled,complete,2026-01-01 01:53:00+00:00,case[8]
Finish_process,complete,2026-01-01 01:54:00+00:00,case[8]
Loan_application_received,complete,2026-01-01 01:55:00+00:00,case[9]
Check_application_form_completeness,complete,2026-01-01 01:56:00+00:00,case[9]
Appraise_property,complete,2026-01-01 01:57:00+00:00,case[9]
Check_credit_history,complete,2026-01-01 01:58:00+00:00,case[9]
Asses_loan_risk,complete,2026-01-01 01:59:00+00:00,case[9]
Asses_elegibility,complete,2026-01-01 02:00:00+00:00,case[9]
Prepare_acceptance_pack,complete,2026-01-01 02:01:00+00:00,case[9]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 02:02:00+00:00,case[9]
Send_acceptance_pack,complete,2026-01-01 02:03:00+00:00,case[9]
Verify_repayment_agreement,complete,2026-01-01 02:04:00+00:00,case[9]
Approve_application,complete,2026-01-01 02:05:00+00:00,case[9]
Loan_application_approved,complete,2026-01-01 02:06:00+00:00,case[9]
Finish_process,complete,2026-01-01 02:07:00+00:00,case[9]
Loan_application_received,complete,2026-01-01 02:08:00+00:00,case[10]
Check_application_form_completeness,complete,2026-01-01 02:09:00+00:00,case[10]
Check_credit_history,complete,2026-01-01 02:10:00+00:00,case[10]
Asses_loan_risk,complete,2026-01-01 02:11:00+00:00,case[10]
Appraise_property,complete,2026-01-01 02:12:00+00:00,case[10]
Asses_elegibility,complete,2026-01-01 02:13:00+00:00,case[10]
Reject_application,complete,2026-01-01 02:14:00+00:00,case[10]
Loan_application_rejected,complete,2026-01-01 02:15:00+00:00,case[10]
Finish_process,complete,2026-01-01 02:16:00+00:00,case[10]
Loan_application_received,complete,2026-01-01 02:17:00+00:00,case[11]
Check_application_form_completeness,complete,2026-01-01 02:18:00+00:00,case[11]
Appraise_property,complete,2026-01-01 02:19:00+00:00,case[11]
Check_credit_history,complete,2026-01-01 02:20:00+00:00,case[11]
Asses_loan_risk,complete,2026-01-01 02:21:00+00:00,case[11]
Asses_elegibility,complete,2026-01-01 02:22:00+00:00,case[11]
Prepare_acceptance_pack,complete,2026-01-01 02:23:00+00:00,case[11]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 02:24:00+00:00,case[11]
Send_home_insurance_quote,complete,2026-01-01 02:25:00+00:00,case[11]
Verify_repayment_agreement,complete,2026-01-01 02:26:00+00:00,case[11]
Cancel_application,complete,2026-01-01 02:27:00+00:00,case[11]
Loan_application_canceled,complete,2026-01-01 02:28:00+00:00,case[11]
Finish_process,complete,2026-01-01 02:29:00+00:00,case[11]
Loan_application_received,complete,2026-01-01 02:30:00+00:00,case[12]
Check_application_form_completeness,complete,2026-01-01 02:31:00+00:00,case[12]
Appraise_property,complete,2026-01-01 02:32:00+00:00,case[12]
Check_credit_history,complete,2026-01-01 02:33:00+00:00,case[12]
Asses_loan_risk,complete,2026-01-01 02:34:00+00:00,case[12]
Asses_elegibility,complete,2026-01-01 02:35:00+00:00,case[12]
Prepare_acceptance_pack,complete,2026-01-01 02:36:00+00:00,case[12]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 02:37:00+00:00,case[12]
Send_acceptance_pack,complete,2026-01-01 02:38:00+00:00,case[12]
Verify_repayment_agreement,complete,2026-01-01 02:39:00+00:00,case[12]
Approve_application,complete,2026-01-01 02:40:00+00:00,case[12]
Loan_application_approved,complete,2026-01-01 02:41:00+00:00,case[12]
Finish_process,complete,2026-01-01 02:42:00+00:00,case[12]
Loan_application_received,complete,2026-01-01 02:43:00+00:00,case[13]
Check_application_form_completeness,complete,2026-01-01 02:44:00+00:00,case[13]
Appraise_property,complete,2026-01-01 02:45:00+00:00,case[13]
Check_credit_history,complete,2026-01-01 02:46:00+00:00,case[13]
Asses_loan_risk,complete,2026-01-01 02:47:00+00:00,case[13]
Asses_elegibility,complete,2026-01-01 02:48:00+00:00,case[13]
Reject_application,complete,2026-01-01 02:49:00+00:00,case[13]
Loan_application_rejected,complete,2026-01-01 02:50:00+00:00,case[13]
Finish_process,complete,2026-01-01 02:51:00+00:00,case[13]
Loan_application_received,complete,2026-01-01 02:52:00+00:00,case[14]
Check_application_form_completeness,complete,2026-01-01 02:53:00+00:00,case[14]
Return_application_back_to_applicant,complete,2026-01-01 02:54:00+00:00,case[14]
Receive_updated_application,complete,2026-01-01 02:55:00+00:00,case[14]
Check_application_form_completeness,complete,2026-01-01 02:56:00+00:00,case[14]
Appraise_property,complete,2026-01-01 02:57:00+00:00,case[14]
Check_credit_history,complete,2026-01-01 02:58:00+00:00,case[14]
Asses_loan_risk,complete,2026-01-01 02:59:00+00:00,case[14]
Asses_elegibility,complete,2026-01-01 03:00:00+00:00,case[14]
Prepare_acceptance_pack,complete,2026-01-01 03:01:00+00:00,case[14]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 03:02:00+00:00,case[14]
Send_home_insurance_quote,complete,2026-01-01 03:03:00+00:00,case[14]
Verify_repayment_agreement,complete,2026-01-01 03:04:00+00:00,case[14]
Approve_application,complete,2026-01-01 03:05:00+00:00,case[14]
Loan_application_approved,complete,2026-01-01 03:06:00+00:00,case[14]
Finish_process,complete,2026-01-01 03:07:00+00:00,case[14]
Loan_application_received,complete,2026-01-01 03:08:00+00:00,case[15]
Check_application_form_completeness,complete,2026-01-01 03:09:00+00:00,case[15]
Return_application_back_to_applicant,complete,2026-01-01 03:10:00+00:00,case[15]
Receive_updated_application,complete,2026-01-01 03:11:00+00:00,case[15]
Check_application_form_completeness,complete,2026-01-01 03:12:00+00:00,case[15]
Check_credit_history,complete,2026-01-01 03:13:00+00:00,case[15]
Asses_loan_risk,complete,2026-01-01 03:14:00+00:00,case[15]
Appraise_property,complete,2026-01-01 03:15:00+00:00,case[15]
Asses_elegibility,complete,2026-01-01 03:16:00+00:00,case[15]
Reject_application,complete,2026-01-01 03:17:00+00:00,case[15]
Loan_application_rejected,complete,2026-01-01 03:18:00+00:00,case[15]
Finish_process,complete,2026-01-01 03:19:00+00:00,case[15]
Loan_application_received,complete,2026-01-01 03:20:00+00:00,case[16]
Check_application_form_completeness,complete,2026-01-01 03:21:00+00:00,case[16]
Check_credit_history,complete,2026-01-01 03:22:00+00:00,case[16]
Asses_loan_risk,complete,2026-01-01 03:23:00+00:00,case[16]
Appraise_property,complete,2026-01-01 03:24:00+00:00,case[16]
Asses_elegibility,complete,2026-01-01 03:25:00+00:00,case[16]
Prepare_acceptance_pack,complete,2026-01-01 03:26:00+00:00,case[16]
Check_if_home_insurance_quote_is_requested,complete,2026-01-01 03:27:00+00:00,case[16]
Send_acceptance_pack,complete,2026-01-01 03:28:00+00:00,case[16]
Verify_repayment_agreement,complete,2026-01-01 03:29:00+00:00,case[16]
Approve_application,complete,2026-01-01 03:30:00+00:00,case[16]
Loan_application_approved,complete,2026-01-01 03:31:00+00:00,case[16]
Finish_process,complete,2026-01-01 03:32:00+00:00,case[16]
Loan_application_received,complete,2026-01-01 03:33:00+00:00,case[17]
