,case:concept:name,concept:name,time:enabled,start_timestamp,time:timestamp,org:resource
0,case[0],A,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:46:32.743616+00:00,Carlos
1,case[0],B,2026-04-15 12:46:32.743616+00:00,2026-04-15 12:46:32.743616+00:00,2026-04-15 13:03:42.302430+00:00,Carlos
2,case[0],C,2026-04-15 13:03:42.302430+00:00,2026-04-15 13:03:42.302430+00:00,2026-04-15 13:20:20.330218+00:00,Carlos
3,case[1],A,2026-04-15 13:04:43.531960+00:00,2026-04-15 13:20:20.330218+00:00,2026-04-15 13:37:07.776437+00:00,Carlos
4,case[0],D,2026-04-15 13:20:20.330218+00:00,2026-04-15 13:37:07.776437+00:00,2026-04-15 13:54:04.561540+00:00,Carlos
5,case[1],B,2026-04-15 13:37:07.776437+00:00,2026-04-15 13:54:04.561540+00:00,2026-04-15 14:10:40.109835+00:00,Carlos
6,case[2],A,2026-04-15 13:52:36.196103+00:00,2026-04-15 14:10:40.109835+00:00,2026-04-15 14:27:06.989348+00:00,Carlos
7,case[0],E,2026-04-15 13:54:04.561540+00:00,2026-04-15 14:27:06.989348+00:00,2026-04-15 14:43:46.540344+00:00,Carlos
8,case[1],C,2026-04-15 14:10:40.109835+00:00,2026-04-15 14:43:46.540344+00:00,2026-04-15 15:00:20.730856+00:00,Carlos
9,case[2],B,2026-04-15 14:27:06.989348+00:00,2026-04-15 15:00:20.730856+00:00,2026-04-15 15:17:22.176331+00:00,Carlos
10,case[3],A,2026-04-15 14:39:06.321367+00:00,2026-04-15 15:17:22.176331+00:00,2026-04-15 15:34:14.298108+00:00,Carlos
11,case[4],A,2026-04-15 14:55:04.556593+00:00,2026-04-15 15:34:14.298108+00:00,2026-04-15 15:51:12.455327+00:00,Carlos
12,case[1],D,2026-04-15 15:00:20.730856+00:00,2026-04-15 15:51:12.455327+00:00,2026-04-15 16:07:18.416252+00:00,Carlos
13,case[5],A,2026-04-15 15:09:51.692775+00:00,2026-04-15 16:07:18.416252+00:00,2026-04-15 16:23:47.130146+00:00,Carlos
14,case[2],C,2026-04-15 15:17:22.176331+00:00,2026-04-15 16:23:47.130146+00:00,2026-04-15 16:40:30.608262+00:00,Carlos
15,case[3],B,2026-04-15 15:34:14.298108+00:00,2026-04-15 16:40:30.608262+00:00,2026-04-15 16:56:57.572566+00:00,Carlos
16,case[6],A,2026-04-15 15:47:43.545117+00:00,2026-04-15 16:56:57.572566+00:00,2026-04-15 17:13:24.689936+00:00,Carlos
17,case[4],B,2026-04-15 15:51:12.455327+00:00,2026-04-15 17:13:24.689936+00:00,2026-04-15 17:29:52.384307+00:00,Carlos
18,case[7],A,2026-04-15 16:05:18.694489+00:00,2026-04-15 17:29:52.384307+00:00,2026-04-15 17:46:14.824848+00:00,Carlos
19,case[1],E,2026-04-15 16:07:18.416252+00:00,2026-04-15 17:46:14.824848+00:00,2026-04-15 18:02:35.779955+00:00,Carlos
20,case[5],B,2026-04-15 16:23:47.130146+00:00,2026-04-15 18:02:35.779955+00:00,2026-04-15 18:19:19.868331+00:00,Carlos
21,case[2],D,2026-04-15 16:40:30.608262+00:00,2026-04-15 18:19:19.868331+00:00,2026-04-15 18:35:37.461870+00:00,Carlos
22,case[8],A,2026-04-15 16:54:01.965150+00:00,2026-04-15 18:35:37.461870+00:00,2026-04-15 18:52:12.233235+00:00,Carlos
23,case[3],C,2026-04-15 16:56:57.572566+00:00,2026-04-15 18:52:12.233235+00:00,2026-04-15 19:08:28.102897+00:00,Carlos
24,case[6],B,2026-04-15 17:13:24.689936+00:00,2026-04-15 19:08:28.102897+00:00,2026-04-15 19:24:56.404203+00:00,Carlos
25,case[4],C,2026-04-15 17:29:52.384307+00:00,2026-04-15 19:24:56.404203+00:00,2026-04-15 19:41:46.489762+00:00,Carlos
26,case[7],B,2026-04-15 17:46:14.824848+00:00,2026-04-15 19:41:46.489762+00:00,2026-04-15 19:58:42.518441+00:00,Carlos
27,case[9],A,2026-04-15 18:11:31.227882+00:00,2026-04-15 19:58:42.518441+00:00,2026-04-15 20:15:07.740477+00:00,Carlos
28,case[10],A,2026-04-15 18:12:37.472839+00:00,2026-04-15 20:15:07.740477+00:00,2026-04-15 20:31:20.145025+00:00,Carlos
29,case[5],C,2026-04-15 18:19:19.868331+00:00,2026-04-15 20:31:20.145025+00:00,2026-04-15 20:48:04.623149+00:00,Carlos
30,case[2],E,2026-04-15 18:35:37.461870+00:00,2026-04-15 20:48:04.623149+00:00,2026-04-15 21:04:41.585826+00:00,Carlos
31,case[8],B,2026-04-15 18:52:12.233235+00:00,2026-04-15 21:04:41.585826+00:00,2026-04-15 21:21:06.719156+00:00,Carlos
32,case[11],A,2026-04-15 19:01:05.678164+00:00,2026-04-15 21:21:06.719156+00:00,2026-04-15 21:37:18.848900+00:00,Carlos
33,case[3],D,2026-04-15 19:08:28.102897+00:00,2026-04-15 21:37:18.848900+00:00,2026-04-15 21:54:02.461808+00:00,Carlos
34,case[6],C,2026-04-15 19:24:56.404203+00:00,2026-04-15 21:54:02.461808+00:00,2026-04-15 22:10:30.410789+00:00,Carlos
35,case[4],D,2026-04-15 19:41:46.489762+00:00,2026-04-15 22:10:30.410789+00:00,2026-04-15 22:27:10.115156+00:00,Carlos
36,case[7],C,2026-04-15 19:58:42.518441+00:00,2026-04-15 22:27:10.115156+00:00,2026-04-15 22:43:54.833317+00:00,Carlos
37,case[12],A,2026-04-15 20:01:19.200781+00:00,2026-04-15 22:43:54.833317+00:00,2026-04-15 23:00:22.010842+00:00,Carlos
38,case[9],B,2026-04-15 20:15:07.740477+00:00,2026-04-15 23:00:22.010842+00:00,2026-04-15 23:16:28.747797+00:00,Carlos
39,case[13],A,2026-04-15 20:20:01.928586+00:00,2026-04-15 23:16:28.747797+00:00,2026-04-15 23:33:24.148314+00:00,Carlos
40,case[10],B,2026-04-15 20:31:20.145025+00:00,2026-04-15 23:33:24.148314+00:00,2026-04-15 23:50:01.926863+00:00,Carlos
41,case[5],D,2026-04-15 20:48:04.623149+00:00,2026-04-15 23:50:01.926863+00:00,2026-04-16 00:06:31.656659+00:00,Carlos
42,case[14],A,2026-04-15 21:05:53.139461+00:00,2026-04-16 00:06:31.656659+00:00,2026-04-16 00:23:19.849391+00:00,Carlos
43,case[8],C,2026-04-15 21:21:06.719156+00:00,2026-04-16 00:23:19.849391+00:00,2026-04-16 00:39:43.666084+00:00,Carlos
44,case[15],A,2026-04-15 21:31:33.436422+00:00,2026-04-16 00:39:43.666084+00:00,2026-04-16 00:55:58.178814+00:00,Carlos
45,case[11],B,2026-04-15 21:37:18.848900+00:00,2026-04-16 00:55:58.178814+00:00,2026-04-16 01:12:39.867490+00:00,Carlos
46,case[3],E,2026-04-15 21:54:02.461808+00:00,2026-04-16 01:12:39.867490+00:00,2026-04-16 01:28:56.918610+00:00,Carlos
47,case[16],A,2026-04-15 22:04:42.058697+00:00,2026-04-16 01:28:56.918610+00:00,2026-04-16 01:45:45.733769+00:00,Carlos
48,case[6],D,2026-04-15 22:10:30.410789+00:00,2026-04-16 01:45:45.733769+00:00,2026-04-16 02:01:47.237105+00:00,Carlos
49,case[17],A,2026-04-15 22:18:35.151776+00:00,2026-04-16 02:01:47.237105+00:00,2026-04-16 02:18:21.139063+00:00,Carlos
50,case[4],E,2026-04-15 22:27:10.115156+00:00,2026-04-16 02:18:21.139063+00:00,2026-04-16 02:35:12.073174+00:00,Carlos
51,case[7],D,2026-04-15 22:43:54.833317+00:00,2026-04-16 02:35:12.073174+00:00,2026-04-16 02:51:08.711537+00:00,Carlos
52,case[12],B,2026-04-15 23:00:22.010842+00:00,2026-04-16 02:51:08.711537+00:00,2026-04-16 03:07:47.388486+00:00,Carlos
53,case[9],C,2026-04-15 23:16:28.747797+00:00,2026-04-16 03:07:47.388486+00:00,2026-04-16 03:24:20.959114+00:00,Carlos
54,case[13],B,2026-04-15 23:33:24.148314+00:00,2026-04-16 03:24:20.959114+00:00,2026-04-16 03:40:28.652187+00:00,Carlos
55,case[18],A,2026-04-15 23:37:11.943502+00:00,2026-04-16 03:40:28.652187+00:00,2026-04-16 03:57:16.785288+00:00,Carlos
56,case[19],A,2026-04-15 23:48:53.357039+00:00,2026-04-16 03:57:16.785288+00:00,2026-04-16 04:13:45.980967+00:00,Carlos
57,case[10],C,2026-04-15 23:50:01.926863+00:00,2026-04-16 04:13:45.980967+00:00,2026-04-16 04:31:07.630035+00:00,Carlos
58,case[20],A,2026-04-15 23:56:02.577385+00:00,2026-04-16 04:31:07.630035+00:00,2026-04-16 04:47:37.502974+00:00,Carlos
59,case[5],E,2026-04-16 00:06:31.656659+00:00,2026-04-16 04:47:37.502974+00:00,2026-04-16 05:04:29.245753+00:00,Carlos
60,case[14],B,2026-04-16 00:23:19.849391+00:00,2026-04-16 05:04:29.245753+00:00,2026-04-16 05:21:20.413050+00:00,Carlos
61,case[21],A,2026-04-16 00:29:13.981572+00:00,2026-04-16 05:21:20.413050+00:00,2026-04-16 05:37:47.906936+00:00,Carlos
62,case[8],D,2026-04-16 00:39:43.666084+00:00,2026-04-16 05:37:47.906936+00:00,2026-04-16 05:54:23.647896+00:00,Carlos
