,case:concept:name,concept:name,time:enabled,start_timestamp,time:timestamp,org:resource
0,case[0],A,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:30:00.000000+00:00,2026-04-15 12:33:20+00:00,Marta
1,case[0],B,2026-04-15 12:33:20.000000+00:00,2026-04-15 12:33:20.000000+00:00,2026-04-15 12:36:40+00:00,Marta
2,case[0],C,2026-04-15 12:36:40.000000+00:00,2026-04-15 12:36:40.000000+00:00,2026-04-15 12:40:00+00:00,Marta
3,case[0],D,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:40:00.000000+00:00,2026-04-15 12:43:20+00:00,Carlos
4,case[0],E,2026-04-15 12:43:20.000000+00:00,2026-04-15 12:43:20.000000+00:00,2026-04-15 12:46:40+00:00,Carlos
5,case[1],A,2026-04-15 13:00:00.000000+00:00,2026-04-15 13:00:00.000000+00:00,2026-04-15 13:03:20+00:00,Marta
6,case[1],B,2026-04-15 13:03:20.000000+00:00,2026-04-15 13:03:20.000000+00:00,2026-04-15 13:06:40+00:00,Marta
7,case[1],C,2026-04-15 13:06:40.000000+00:00,2026-04-15 13:06:40.000000+00:00,2026-04-15 13:10:00+00:00,Marta
8,case[1],D,2026-04-15 13:10:00.000000+00:00,2026-04-15 13:10:00.000000+00:00,2026-04-15 13:13:20+00:00,Carlos
9,case[1],E,2026-04-15 13:13:20.000000+00:00,2026-04-15 13:13:20.000000+00:00,2026-04-15 13:16:40+00:00,Carlos
10,case[2],A,2026-04-15 13:30:00.000000+00:00,2026-04-15 13:30:00.000000+00:00,2026-04-15 13:33:20+00:00,Marta
11,case[2],B,2026-04-15 13:33:20.000000+00:00,2026-04-15 13:33:20.000000+00:00,2026-04-15 13:36:40+00:00,Marta
12,case[2],C,2026-04-15 13:36:40.000000+00:00,2026-04-15 13:36:40.000000+00:00,2026-04-15 13:40:00+00:00,Marta
13,case[2],D,2026-04-15 13:40:00.000000+00:00,2026-04-15 13:40:00.000000+00:00,2026-04-15 13:43:20+00:00,Carlos
14,case[2],E,2026-04-15 13:43:20.000000+00:00,2026-04-15 13:43:20.000000+00:00,2026-04-15 13:46:40+00:00,Carlos
15,case[3],A,2026-04-15 14:00:00.000000+00:00,2026-04-15 14:00:00.000000+00:00,2026-04-15 14:03:20+00:00,Marta
16,case[3],B,2026-04-15 14:03:20.000000+00:00,2026-04-15 14:03:20.000000+00:00,2026-04-15 14:06:40+00:00,Marta
17,case[3],C,2026-04-15 14:06:40.000000+00:00,2026-04-15 14:06:40.000000+00:00,2026-04-15 14:10:00+00:00,Marta
18,case[3],D,2026-04-15 14:10:00.000000+00:00,2026-04-15 14:10:00.000000+00:00,2026-04-15 14:13:20+00:00,Carlos
19,case[3],E,2026-04-15 14:13:20.000000+00:00,2026-04-15 14:13:20.000000+00:00,2026-04-15 14:16:40+00:00,Carlos
20,case[4],A,2026-04-15 14:30:00.000000+00:00,2026-04-15 14:30:00.000000+00:00,2026-04-15 14:33:20+00:00,Marta
21,case[4],B,2026-04-15 14:33:20.000000+00:00,2026-04-15 14:33:20.000000+00:00,2026-04-15 14:36:40+00:00,Marta
22,case[4],C,2026-04-15 14:36:40.000000+00:00,2026-04-15 14:36:40.000000+00:00,2026-04-15 14:40:00+00:00,Marta
23,case[4],D,2026-04-15 14:40:00.000000+00:00,2026-04-15 14:40:00.000000+00:00,2026-04-15 14:43:20+00:00,Carlos
24,case[4],E,2026-04-15 14:43:20.000000+00:00,2026-04-15 14:43:20.000000+00:00,2026-04-15 14:46:40+00:00,Carlos
25,case[5],A,2026-04-15 15:00:00.000000+00:00,2026-04-15 15:00:00.000000+00:00,2026-04-15 15:03:20+00:00,Marta
26,case[5],B,2026-04-15 15:03:20.000000+00:00,2026-04-15 15:03:20.000000+00:00,2026-04-15 15:06:40+00:00,Marta
27,case[5],C,2026-04-15 15:06:40.000000+00:00,2026-04-15 15:06:40.000000+00:00,2026-04-15 15:10:00+00:00,Marta
28,case[5],D,2026-04-15 15:10:00.000000+00:00,2026-04-15 15:10:00.000000+00:00,2026-04-15 15:13:20+00:00,Carlos
29,case[5],E,2026-04-15 15:13:20.000000+00:00,2026-04-15 15:13:20.000000+00:00,2026-04-15 15:16:40+00:00,Carlos
30,case[6],A,2026-04-15 15:30:00.000000+00:00,2026-04-15 15:30:00.000000+00:00,2026-04-15 15:33:20+00:00,Marta
31,case[6],B,2026-04-15 15:33:20.000000+00:00,2026-04-15 15:33:20.000000+00:00,2026-04-15 15:36:40+00:00,Marta
32,case[6],C,2026-04-15 15:36:40.000000+00:00,2026-04-15 15:36:40.000000+00:00,2026-04-15 15:40:00+00:00,Marta
33,case[6],D,2026-04-15 15:40:00.000000+00:00,2026-04-15 15:40:00.000000+00:00,2026-04-15 15:43:20+00:00,Carlos
34,case[6],E,2026-04-15 15:43:20.000000+00:00,2026-04-15 15:43:20.000000+00:00,2026-04-15 15:46:40+00:00,Carlos
35,case[7],A,2026-04-15 16:00:00.000000+00:00,2026-04-15 16:00:00.000000+00:00,2026-04-15 16:03:20+00:00,Marta
36,case[7],B,2026-04-15 16:03:20.000000+00:00,2026-04-15 16:03:20.000000+00:00,2026-04-15 16:06:40+00:00,Marta
37,case[7],C,2026-04-15 16:06:40.000000+00:00,2026-04-15 16:06:40.000000+00:00,2026-04-15 16:10:00+00:00,Marta
38,case[7],D,2026-04-15 16:10:00.000000+00:00,2026-04-15 16:10:00.000000+00:00,2026-04-15 16:13:20+00:00,Carlos
39,case[7],E,2026-04-15 16:13:20.000000+00:00,2026-04-15 16:13:20.000000+00:00,2026-04-15 16:16:40+00:00,Carlos
40,case[8],A,2026-04-15 16:30:00.000000+00:00,2026-04-15 16:30:00.000000+00:00,2026-04-15 16:33:20+00:00,Marta
